date,val
2021/2/5,211611
2021/2/6,185604
2021/2/7,171416
2021/2/8,135717
2021/2/9,116868
2021/2/10,103562
2021/2/11,91306
2021/2/12,117092
2021/2/13,160334
2021/2/14,186570
2021/2/15,225021
2021/2/16,267555
2021/2/17,310650
2021/2/18,379965
2021/2/19,423987
2021/2/20,471529
2021/2/21,519368
2021/2/22,475310
2021/2/23,374702
2021/2/24,586817
2021/2/25,533275
2021/2/26,507205
2021/2/27,387292
2021/2/28,339514
2021/3/1,362741
2021/3/2,279760
2021/3/3,254954
2021/3/4,239371
2021/3/5,1103604
2021/3/6,625456
2021/3/7,590766
2021/3/8,735921
2021/3/9,666006
2021/3/10,334233
2021/3/11,340727
2021/3/12,335780
2021/3/13,344903
2021/3/14,410492
2021/3/15,421227
2021/3/16,438032
2021/3/17,413961
2021/3/18,373742
2021/3/19,362326
2021/3/20,338093
2021/3/21,403365
2021/3/22,308047
2021/3/23,244653
2021/3/24,1075949
2021/3/25,681901
2021/3/26,633489
2021/3/27,485925
2021/3/28,465541
2021/3/29,430175
2021/3/30,416650
2021/3/31,388897
2021/4/1,346462
2021/4/2,323462
2021/4/3,332005
2021/4/4,366973
2021/4/5,398271
2021/4/6,400850
2021/4/7,342337
2021/4/8,331882
2021/4/9,344265
2021/4/10,333928
2021/4/11,373220
2021/4/12,553531
2021/4/13,577634
2021/4/14,478604
2021/4/15,456132
2021/4/16,333122
2021/4/17,401726
2021/4/18,486490
2021/4/19,437369
2021/4/20,387613
2021/4/21,397576
2021/4/22,400024
2021/4/23,385966
2021/4/24,453349
2021/4/25,509160
2021/4/26,470246
2021/4/27,444414
2021/4/28,345938
2021/4/29,271253
2021/4/30,193634
2021/5/1,567338
2021/5/2,454102
2021/5/3,421727
2021/5/4,433102
2021/5/5,514460
2021/5/6,477246
2021/5/7,352430
2021/5/8,338090
2021/5/9,374157
2021/5/10,395512
2021/5/11,574940
2021/5/12,489704
2021/5/13,455266
2021/5/14,412364
2021/5/15,359585
2021/5/16,358114
2021/5/17,337114
2021/5/18,479032
2021/5/19,363632
2021/5/20,381890
2021/5/21,266793
2021/5/22,323362
2021/5/23,340234
2021/5/24,317977
2021/5/25,353537
2021/5/26,351705
2021/5/27,331214
2021/5/28,316162
2021/5/29,235324
2021/5/30,93818
2021/5/31,140464
2021/6/1,879407
2021/6/2,557937
2021/6/3,425910
2021/6/4,1119559
2021/6/5,554381
2021/6/6,395671
2021/6/7,394259
2021/6/8,367758
2021/6/9,348593
2021/6/10,331751
2021/6/11,271759
2021/6/12,264618
2021/6/13,274322
2021/6/14,254842
2021/6/15,217226
2021/6/16,1110040
2021/6/17,747604
2021/6/18,751021
2021/6/19,641065
2021/6/20,594712
2021/6/21,545942
2021/6/22,255113
2021/6/23,249990
2021/6/24,202668
2021/6/25,202923
2021/6/26,219487
2021/6/27,230608
